movie_id,title,genre,year,rating,director,cast,description
21,Movie 21,Horror,1993,1.6,Director 12,"Actor 37, Actor 132",This is a sample description for Movie 21. It is a fantasy film.
22,Movie 22,Romance,2000,4.6,Director 7,"Actor 91, Actor 113",This is a sample description for Movie 22. It is a crime film.
23,Movie 23,Crime,1997,5.3,Director 40,"Actor 27, Actor 175",This is a sample description for Movie 23. It is a western film.
24,Movie 24,Fantasy,1993,9.0,Director 48,"Actor 45, Actor 164",This is a sample description for Movie 24. It is a animation film.
25,Movie 25,Romance,2011,2.4,Director 38,"Actor 71, Actor 194",This is a sample description for Movie 25. It is a family film.
26,Movie 26,Animation,2000,4.4,Director 43,"Actor 30, Actor 128",This is a sample description for Movie 26. It is a adventure film.
27,Movie 27,Mystery,2011,7.2,Director 9,"Actor 22, Actor 170",This is a sample description for Movie 27. It is a adventure film.
28,Movie 28,Mystery,2001,6.5,Director 19,"Actor 90, Actor 182",This is a sample description for Movie 28. It is a mystery film.
29,Movie 29,Sci-Fi,2005,4.7,Director 33,"Actor 55, Actor 130",This is a sample description for Movie 29. It is a thriller film.
30,Movie 30,Drama,2015,8.1,Director 8,"Actor 58, Actor 194",This is a sample description for Movie 30. It is a drama film.
31,Movie 31,Mystery,2000,2.4,Director 20,"Actor 97, Actor 105",This is a sample description for Movie 31. It is a family film.
32,Movie 32,Western,2015,5.3,Director 41,"Actor 13, Actor 104",This is a sample description for Movie 32. It is a comedy film.
33,Movie 33,Documentary,2001,3.9,Director 26,"Actor 54, Actor 170",This is a sample description for Movie 33. It is a thriller film.
34,Movie 34,Fantasy,2001,7.7,Director 28,"Actor 69, Actor 139",This is a sample description for Movie 34. It is a action film.
35,Movie 35,Action,2001,8.2,Director 36,"Actor 85, Actor 168",This is a sample description for Movie 35. It is a mystery film.
36,Movie 36,Family,2024,9.5,Director 2,"Actor 68, Actor 160",This is a sample description for Movie 36. It is a drama film.
37,Movie 37,Western,2006,9.5,Director 9,"Actor 4, Actor 159",This is a sample description for Movie 37. It is a romance film.
38,Movie 38,Romance,2014,6.8,Director 17,"Actor 66, Actor 137",This is a sample description for Movie 38. It is a family film.
39,Movie 39,Horror,2009,6.0,Director 2,"Actor 69, Actor 191",This is a sample description for Movie 39. It is a animation film.
40,Movie 40,Sci-Fi,2000,3.0,Director 25,"Actor 54, Actor 108",This is a sample description for Movie 40. It is a family film.
41,Movie 41,Crime,2006,3.6,Director 16,"Actor 13, Actor 101",This is a sample description for Movie 41. It is a adventure film.
42,Movie 42,Drama,2020,1.6,Director 18,"Actor 79, Actor 149",This is a sample description for Movie 42. It is a documentary film.
43,Movie 43,Drama,1999,5.5,Director 50,"Actor 35, Actor 129",This is a sample description for Movie 43. It is a war film.
44,Movie 44,Crime,1994,8.9,Director 31,"Actor 26, Actor 159",This is a sample description for Movie 44. It is a family film.
45,Movie 45,Action,2010,4.4,Director 2,"Actor 84, Actor 137",This is a sample description for Movie 45. It is a sci-fi film.
46,Movie 46,Family,2002,6.5,Director 8,"Actor 29, Actor 142",This is a sample description for Movie 46. It is a crime film.
47,Movie 47,Romance,2019,2.3,Director 3,"Actor 73, Actor 200",This is a sample description for Movie 47. It is a mystery film.
48,Movie 48,Comedy,2002,5.6,Director 26,"Actor 63, Actor 195",This is a sample description for Movie 48. It is a adventure film.
49,Movie 49,War,2011,3.9,Director 26,"Actor 59, Actor 191",This is a sample description for Movie 49. It is a documentary film.
50,Movie 50,Comedy,2000,2.9,Director 49,"Actor 36, Actor 141",This is a sample description for Movie 50. It is a family film.
51,Movie 51,Action,1999,7.2,Director 45,"Actor 60, Actor 183",This is a sample description for Movie 51. It is a documentary film.
52,Movie 52,Action,2004,7.4,Director 48,"Actor 24, Actor 108",This is a sample description for Movie 52. It is a family film.
53,Movie 53,Romance,2023,9.0,Director 38,"Actor 65, Actor 107",This is a sample description for Movie 53. It is a thriller film.
54,Movie 54,Sci-Fi,2003,8.2,Director 7,"Actor 79, Actor 182",This is a sample description for Movie 54. It is a animation film.
55,Movie 55,Crime,2013,5.3,Director 39,"Actor 38, Actor 140",This is a sample description for Movie 55. It is a family film.
56,Movie 56,Comedy,2008,3.8,Director 16,"Actor 13, Actor 168",This is a sample description for Movie 56. It is a sci-fi film.
57,Movie 57,War,2014,6.6,Director 23,"Actor 36, Actor 161",This is a sample description for Movie 57. It is a drama film.
58,Movie 58,Comedy,2006,2.6,Director 28,"Actor 93, Actor 179",This is a sample description for Movie 58. It is a drama film.
59,Movie 59,Western,1996,6.7,Director 13,"Actor 96, Actor 178",This is a sample description for Movie 59. It is a action film.
60,Movie 60,War,1993,7.8,Director 13,"Actor 56, Actor 178",This is a sample description for Movie 60. It is a western film.
61,Movie 61,Animation,2000,6.2,Director 17,"Actor 2, Actor 112",This is a sample description for Movie 61. It is a animation film.
62,Movie 62,Adventure,2010,5.8,Director 17,"Actor 34, Actor 187",This is a sample description for Movie 62. It is a adventure film.
63,Movie 63,Documentary,2013,3.8,Director 36,"Actor 6, Actor 127",This is a sample description for Movie 63. It is a action film.
64,Movie 64,Comedy,2010,3.3,Director 37,"Actor 87, Actor 176",This is a sample description for Movie 64. It is a fantasy film.
65,Movie 65,Family,2018,3.8,Director 50,"Actor 85, Actor 188",This is a sample description for Movie 65. It is a crime film.
66,Movie 66,Mystery,1995,2.5,Director 28,"Actor 50, Actor 136",This is a sample description for Movie 66. It is a horror film.
67,Movie 67,Family,2001,6.4,Director 28,"Actor 45, Actor 179",This is a sample description for Movie 67. It is a crime film.
68,Movie 68,Comedy,2000,6.1,Director 11,"Actor 46, Actor 112",This is a sample description for Movie 68. It is a sci-fi film.
69,Movie 69,Comedy,2001,9.8,Director 17,"Actor 82, Actor 133",This is a sample description for Movie 69. It is a fantasy film.
70,Movie 70,Animation,1991,8.1,Director 4,"Actor 31, Actor 121",This is a sample description for Movie 70. It is a fantasy film.
71,Movie 71,Sci-Fi,2013,4.2,Director 40,"Actor 32, Actor 200",This is a sample description for Movie 71. It is a war film.
72,Movie 72,Romance,2010,5.7,Director 15,"Actor 48, Actor 177",This is a sample description for Movie 72. It is a romance film.
73,Movie 73,Thriller,2006,9.7,Director 20,"Actor 12, Actor 195",This is a sample description for Movie 73. It is a western film.
74,Movie 74,War,2007,9.9,Director 23,"Actor 75, Actor 109",This is a sample description for Movie 74. It is a war film.
75,Movie 75,Sci-Fi,2003,6.6,Director 26,"Actor 84, Actor 151",This is a sample description for Movie 75. It is a romance film.
76,Movie 76,Drama,1998,9.4,Director 12,"Actor 88, Actor 189",This is a sample description for Movie 76. It is a action film.
77,Movie 77,Mystery,2010,9.3,Director 37,"Actor 85, Actor 137",This is a sample description for Movie 77. It is a western film.
78,Movie 78,Sci-Fi,2019,8.6,Director 2,"Actor 80, Actor 183",This is a sample description for Movie 78. It is a thriller film.
79,Movie 79,Romance,2017,3.4,Director 28,"Actor 36, Actor 106",This is a sample description for Movie 79. It is a romance film.
80,Movie 80,Horror,1993,6.5,Director 9,"Actor 39, Actor 162",This is a sample description for Movie 80. It is a animation film.
81,Movie 81,Documentary,1997,5.8,Director 36,"Actor 32, Actor 140",This is a sample description for Movie 81. It is a drama film.
82,Movie 82,Action,2005,4.0,Director 44,"Actor 79, Actor 139",This is a sample description for Movie 82. It is a animation film.
83,Movie 83,Drama,1995,3.8,Director 19,"Actor 48, Actor 153",This is a sample description for Movie 83. It is a western film.
84,Movie 84,Thriller,2018,3.4,Director 28,"Actor 96, Actor 150",This is a sample description for Movie 84. It is a documentary film.
85,Movie 85,Drama,1995,6.1,Director 34,"Actor 75, Actor 126",This is a sample description for Movie 85. It is a documentary film.
86,Movie 86,Mystery,2000,8.3,Director 9,"Actor 80, Actor 161",This is a sample description for Movie 86. It is a western film.
87,Movie 87,War,1991,9.5,Director 1,"Actor 9, Actor 196",This is a sample description for Movie 87. It is a comedy film.
88,Movie 88,Mystery,2000,1.6,Director 41,"Actor 59, Actor 190",This is a sample description for Movie 88. It is a western film.
89,Movie 89,Crime,2020,3.1,Director 31,"Actor 60, Actor 148",This is a sample description for Movie 89. It is a fantasy film.
90,Movie 90,War,2004,8.2,Director 43,"Actor 65, Actor 197",This is a sample description for Movie 90. It is a adventure film.
91,Movie 91,Adventure,2022,3.5,Director 17,"Actor 49, Actor 197",This is a sample description for Movie 91. It is a mystery film.
92,Movie 92,Comedy,2019,7.8,Director 9,"Actor 19, Actor 134",This is a sample description for Movie 92. It is a horror film.
93,Movie 93,Animation,2023,7.1,Director 46,"Actor 9, Actor 176",This is a sample description for Movie 93. It is a romance film.
94,Movie 94,Comedy,2011,1.1,Director 37,"Actor 37, Actor 153",This is a sample description for Movie 94. It is a sci-fi film.
95,Movie 95,Animation,2019,3.2,Director 44,"Actor 6, Actor 183",This is a sample description for Movie 95. It is a horror film.
96,Movie 96,Western,1993,5.2,Director 32,"Actor 36, Actor 129",This is a sample description for Movie 96. It is a thriller film.
97,Movie 97,Fantasy,2002,1.2,Director 18,"Actor 60, Actor 135",This is a sample description for Movie 97. It is a mystery film.
98,Movie 98,Horror,2006,4.1,Director 16,"Actor 17, Actor 195",This is a sample description for Movie 98. It is a crime film.
99,Movie 99,War,2019,9.7,Director 40,"Actor 19, Actor 172",This is a sample description for Movie 99. It is a mystery film.
100,Movie 100,Family,2004,6.0,Director 1,"Actor 87, Actor 194",This is a sample description for Movie 100. It is a drama film.
101,Movie 101,Drama,2024,2.3,Director 21,"Actor 25, Actor 149",This is a sample description for Movie 101. It is a family film.
102,Movie 102,Thriller,1998,6.5,Director 16,"Actor 40, Actor 101",This is a sample description for Movie 102. It is a horror film.
103,Movie 103,Horror,2014,3.4,Director 27,"Actor 78, Actor 124",This is a sample description for Movie 103. It is a crime film.
104,Movie 104,Horror,2017,8.1,Director 21,"Actor 64, Actor 187",This is a sample description for Movie 104. It is a romance film.
105,Movie 105,Romance,1997,4.6,Director 4,"Actor 52, Actor 124",This is a sample description for Movie 105. It is a war film.
106,Movie 106,Sci-Fi,2023,9.7,Director 8,"Actor 62, Actor 198",This is a sample description for Movie 106. It is a comedy film.
107,Movie 107,Documentary,1991,5.6,Director 41,"Actor 63, Actor 181",This is a sample description for Movie 107. It is a crime film.
108,Movie 108,Thriller,2005,1.2,Director 48,"Actor 94, Actor 165",This is a sample description for Movie 108. It is a adventure film.
109,Movie 109,Fantasy,2022,7.1,Director 3,"Actor 56, Actor 173",This is a sample description for Movie 109. It is a western film.
110,Movie 110,War,2001,2.5,Director 27,"Actor 78, Actor 195",This is a sample description for Movie 110. It is a comedy film.
111,Movie 111,War,1993,7.8,Director 17,"Actor 11, Actor 197",This is a sample description for Movie 111. It is a documentary film.
112,Movie 112,Mystery,1995,9.1,Director 25,"Actor 27, Actor 188",This is a sample description for Movie 112. It is a drama film.
113,Movie 113,Romance,2013,1.4,Director 43,"Actor 41, Actor 195",This is a sample description for Movie 113. It is a thriller film.
114,Movie 114,Family,2015,7.8,Director 17,"Actor 9, Actor 180",This is a sample description for Movie 114. It is a animation film.
115,Movie 115,Animation,2008,6.9,Director 27,"Actor 24, Actor 151",This is a sample description for Movie 115. It is a comedy film.
116,Movie 116,Crime,2003,7.7,Director 14,"Actor 65, Actor 129",This is a sample description for Movie 116. It is a documentary film.
117,Movie 117,Documentary,2010,7.5,Director 18,"Actor 2, Actor 185",This is a sample description for Movie 117. It is a family film.
118,Movie 118,Mystery,2020,6.3,Director 36,"Actor 26, Actor 172",This is a sample description for Movie 118. It is a comedy film.
119,Movie 119,Thriller,1995,5.9,Director 45,"Actor 76, Actor 115",This is a sample description for Movie 119. It is a crime film.
120,Movie 120,Horror,2015,5.9,Director 20,"Actor 34, Actor 119",This is a sample description for Movie 120. It is a western film.
121,Movie 121,Romance,2011,9.0,Director 46,"Actor 31, Actor 151",This is a sample description for Movie 121. It is a sci-fi film.
122,Movie 122,War,2008,1.5,Director 30,"Actor 65, Actor 143",This is a sample description for Movie 122. It is a action film.
123,Movie 123,Thriller,1994,4.4,Director 10,"Actor 60, Actor 192",This is a sample description for Movie 123. It is a war film.
124,Movie 124,Mystery,2004,5.8,Director 24,"Actor 41, Actor 152",This is a sample description for Movie 124. It is a family film.
125,Movie 125,Adventure,2003,1.5,Director 19,"Actor 10, Actor 153",This is a sample description for Movie 125. It is a animation film.
126,Movie 126,Mystery,1992,4.6,Director 7,"Actor 19, Actor 122",This is a sample description for Movie 126. It is a sci-fi film.
127,Movie 127,Crime,2021,6.5,Director 3,"Actor 40, Actor 153",This is a sample description for Movie 127. It is a western film.
128,Movie 128,Thriller,2018,7.6,Director 15,"Actor 23, Actor 147",This is a sample description for Movie 128. It is a documentary film.
129,Movie 129,Fantasy,1996,9.1,Director 49,"Actor 6, Actor 185",This is a sample description for Movie 129. It is a mystery film.
130,Movie 130,Comedy,2019,7.2,Director 11,"Actor 55, Actor 178",This is a sample description for Movie 130. It is a animation film.
131,Movie 131,Horror,2006,7.4,Director 28,"Actor 21, Actor 168",This is a sample description for Movie 131. It is a drama film.
132,Movie 132,Family,2009,2.2,Director 5,"Actor 2, Actor 169",This is a sample description for Movie 132. It is a sci-fi film.
133,Movie 133,Western,1999,9.4,Director 25,"Actor 7, Actor 144",This is a sample description for Movie 133. It is a drama film.
134,Movie 134,Documentary,1991,3.4,Director 10,"Actor 61, Actor 110",This is a sample description for Movie 134. It is a documentary film.
135,Movie 135,Romance,2018,8.4,Director 10,"Actor 54, Actor 146",This is a sample description for Movie 135. It is a romance film.
136,Movie 136,Crime,2020,4.1,Director 12,"Actor 28, Actor 125",This is a sample description for Movie 136. It is a sci-fi film.
137,Movie 137,Romance,1993,1.8,Director 16,"Actor 26, Actor 106",This is a sample description for Movie 137. It is a documentary film.
138,Movie 138,Animation,2021,8.7,Director 20,"Actor 1, Actor 159",This is a sample description for Movie 138. It is a crime film.
139,Movie 139,Animation,1993,2.8,Director 34,"Actor 79, Actor 172",This is a sample description for Movie 139. It is a animation film.
140,Movie 140,Crime,2014,3.4,Director 26,"Actor 76, Actor 111",This is a sample description for Movie 140. It is a crime film.
141,Movie 141,Animation,2013,8.8,Director 39,"Actor 32, Actor 151",This is a sample description for Movie 141. It is a mystery film.
142,Movie 142,Romance,1996,4.6,Director 29,"Actor 99, Actor 130",This is a sample description for Movie 142. It is a animation film.
143,Movie 143,Romance,1998,9.0,Director 27,"Actor 37, Actor 180",This is a sample description for Movie 143. It is a comedy film.
144,Movie 144,Animation,1990,4.5,Director 24,"Actor 37, Actor 132",This is a sample description for Movie 144. It is a sci-fi film.
145,Movie 145,Animation,2008,5.8,Director 21,"Actor 3, Actor 170",This is a sample description for Movie 145. It is a animation film.
146,Movie 146,Mystery,2021,9.5,Director 35,"Actor 16, Actor 149",This is a sample description for Movie 146. It is a thriller film.
147,Movie 147,Thriller,1990,4.8,Director 1,"Actor 39, Actor 167",This is a sample description for Movie 147. It is a war film.
148,Movie 148,Family,2004,8.6,Director 5,"Actor 28, Actor 186",This is a sample description for Movie 148. It is a family film.
149,Movie 149,Family,2003,6.6,Director 15,"Actor 74, Actor 126",This is a sample description for Movie 149. It is a documentary film.
150,Movie 150,Fantasy,2016,8.2,Director 42,"Actor 96, Actor 195",This is a sample description for Movie 150. It is a family film.
151,Movie 151,Family,2023,2.7,Director 37,"Actor 47, Actor 117",This is a sample description for Movie 151. It is a sci-fi film.
152,Movie 152,Adventure,1995,1.4,Director 38,"Actor 22, Actor 102",This is a sample description for Movie 152. It is a animation film.
153,Movie 153,Horror,1990,8.0,Director 28,"Actor 95, Actor 187",This is a sample description for Movie 153. It is a adventure film.
154,Movie 154,Romance,1997,5.6,Director 19,"Actor 93, Actor 113",This is a sample description for Movie 154. It is a sci-fi film.
155,Movie 155,Thriller,1995,7.3,Director 31,"Actor 84, Actor 176",This is a sample description for Movie 155. It is a western film.
156,Movie 156,Thriller,2013,2.3,Director 28,"Actor 28, Actor 123",This is a sample description for Movie 156. It is a western film.
157,Movie 157,Comedy,1994,3.7,Director 29,"Actor 29, Actor 178",This is a sample description for Movie 157. It is a romance film.
158,Movie 158,Adventure,1995,7.4,Director 18,"Actor 21, Actor 161",This is a sample description for Movie 158. It is a fantasy film.
159,Movie 159,Mystery,1996,5.5,Director 40,"Actor 47, Actor 169",This is a sample description for Movie 159. It is a documentary film.
160,Movie 160,Adventure,2013,8.7,Director 43,"Actor 93, Actor 111",This is a sample description for Movie 160. It is a western film.
161,Movie 161,Adventure,1995,7.5,Director 50,"Actor 87, Actor 134",This is a sample description for Movie 161. It is a crime film.
162,Movie 162,Adventure,2015,4.1,Director 34,"Actor 83, Actor 148",This is a sample description for Movie 162. It is a war film.
163,Movie 163,Action,2005,5.2,Director 14,"Actor 22, Actor 128",This is a sample description for Movie 163. It is a war film.
164,Movie 164,Horror,2001,9.0,Director 24,"Actor 68, Actor 173",This is a sample description for Movie 164. It is a romance film.
165,Movie 165,Fantasy,2017,5.3,Director 14,"Actor 40, Actor 150",This is a sample description for Movie 165. It is a family film.
166,Movie 166,Animation,2010,6.8,Director 17,"Actor 93, Actor 112",This is a sample description for Movie 166. It is a romance film.
167,Movie 167,Comedy,2015,7.9,Director 1,"Actor 59, Actor 194",This is a sample description for Movie 167. It is a animation film.
168,Movie 168,War,2023,4.6,Director 3,"Actor 40, Actor 199",This is a sample description for Movie 168. It is a documentary film.
169,Movie 169,Animation,2011,5.5,Director 19,"Actor 33, Actor 125",This is a sample description for Movie 169. It is a romance film.
170,Movie 170,Animation,1991,9.2,Director 5,"Actor 54, Actor 161",This is a sample description for Movie 170. It is a drama film.
171,Movie 171,Action,2015,9.2,Director 18,"Actor 40, Actor 170",This is a sample description for Movie 171. It is a sci-fi film.
172,Movie 172,Horror,2010,8.9,Director 23,"Actor 63, Actor 184",This is a sample description for Movie 172. It is a drama film.
173,Movie 173,Romance,2016,7.0,Director 1,"Actor 38, Actor 196",This is a sample description for Movie 173. It is a western film.
174,Movie 174,Comedy,2011,4.6,Director 9,"Actor 83, Actor 173",This is a sample description for Movie 174. It is a thriller film.
175,Movie 175,Crime,2024,3.0,Director 17,"Actor 35, Actor 191",This is a sample description for Movie 175. It is a romance film.
176,Movie 176,Comedy,2017,2.5,Director 32,"Actor 6, Actor 142",This is a sample description for Movie 176. It is a thriller film.
177,Movie 177,War,2011,9.2,Director 25,"Actor 75, Actor 157",This is a sample description for Movie 177. It is a action film.
178,Movie 178,Mystery,1994,3.9,Director 42,"Actor 10, Actor 176",This is a sample description for Movie 178. It is a drama film.
179,Movie 179,Crime,2017,2.1,Director 37,"Actor 89, Actor 172",This is a sample description for Movie 179. It is a western film.
180,Movie 180,Family,2006,7.7,Director 36,"Actor 8, Actor 101",This is a sample description for Movie 180. It is a war film.
181,Movie 181,Adventure,2016,9.2,Director 13,"Actor 98, Actor 101",This is a sample description for Movie 181. It is a sci-fi film.
182,Movie 182,Romance,1992,8.2,Director 8,"Actor 60, Actor 196",This is a sample description for Movie 182. It is a family film.
183,Movie 183,Sci-Fi,1999,4.1,Director 27,"Actor 79, Actor 194",This is a sample description for Movie 183. It is a drama film.
184,Movie 184,Thriller,1991,1.4,Director 7,"Actor 58, Actor 118",This is a sample description for Movie 184. It is a thriller film.
185,Movie 185,Animation,2006,4.1,Director 15,"Actor 36, Actor 124",This is a sample description for Movie 185. It is a war film.
186,Movie 186,Horror,2003,2.2,Director 45,"Actor 42, Actor 188",This is a sample description for Movie 186. It is a romance film.
187,Movie 187,Mystery,2006,9.9,Director 27,"Actor 55, Actor 109",This is a sample description for Movie 187. It is a comedy film.
188,Movie 188,Comedy,1995,7.8,Director 27,"Actor 69, Actor 149",This is a sample description for Movie 188. It is a horror film.
189,Movie 189,Western,2016,7.6,Director 34,"Actor 64, Actor 178",This is a sample description for Movie 189. It is a family film.
190,Movie 190,Crime,1996,7.3,Director 28,"Actor 52, Actor 139",This is a sample description for Movie 190. It is a documentary film.
191,Movie 191,Thriller,2009,5.4,Director 18,"Actor 54, Actor 177",This is a sample description for Movie 191. It is a sci-fi film.
192,Movie 192,Sci-Fi,2019,3.9,Director 39,"Actor 100, Actor 182",This is a sample description for Movie 192. It is a mystery film.
193,Movie 193,Sci-Fi,1998,7.6,Director 45,"Actor 94, Actor 174",This is a sample description for Movie 193. It is a animation film.
194,Movie 194,Thriller,1993,5.2,Director 30,"Actor 91, Actor 115",This is a sample description for Movie 194. It is a crime film.
195,Movie 195,Western,2012,1.2,Director 29,"Actor 82, Actor 103",This is a sample description for Movie 195. It is a family film.
196,Movie 196,Sci-Fi,2017,1.6,Director 47,"Actor 22, Actor 161",This is a sample description for Movie 196. It is a horror film.
197,Movie 197,Action,2022,8.6,Director 50,"Actor 70, Actor 125",This is a sample description for Movie 197. It is a horror film.
198,Movie 198,Comedy,2003,6.2,Director 45,"Actor 9, Actor 180",This is a sample description for Movie 198. It is a crime film.
199,Movie 199,Fantasy,2023,2.5,Director 12,"Actor 39, Actor 181",This is a sample description for Movie 199. It is a western film.
200,Movie 200,Thriller,2009,6.6,Director 22,"Actor 70, Actor 118",This is a sample description for Movie 200. It is a animation film.
201,Movie 201,Sci-Fi,2004,5.3,Director 1,"Actor 95, Actor 134",This is a sample description for Movie 201. It is a drama film.
202,Movie 202,Western,1997,4.3,Director 6,"Actor 79, Actor 131",This is a sample description for Movie 202. It is a crime film.
203,Movie 203,Crime,1998,6.6,Director 6,"Actor 32, Actor 169",This is a sample description for Movie 203. It is a documentary film.
204,Movie 204,Mystery,1991,5.3,Director 6,"Actor 98, Actor 163",This is a sample description for Movie 204. It is a horror film.
205,Movie 205,Drama,1997,5.1,Director 27,"Actor 8, Actor 103",This is a sample description for Movie 205. It is a thriller film.
206,Movie 206,Adventure,1991,1.3,Director 32,"Actor 81, Actor 130",This is a sample description for Movie 206. It is a sci-fi film.
207,Movie 207,Thriller,2002,2.3,Director 34,"Actor 35, Actor 176",This is a sample description for Movie 207. It is a western film.
208,Movie 208,War,2018,4.0,Director 35,"Actor 86, Actor 160",This is a sample description for Movie 208. It is a fantasy film.
209,Movie 209,Documentary,2005,4.3,Director 49,"Actor 98, Actor 181",This is a sample description for Movie 209. It is a war film.
210,Movie 210,Crime,1995,5.8,Director 20,"Actor 68, Actor 155",This is a sample description for Movie 210. It is a western film.
211,Movie 211,Romance,2004,1.4,Director 32,"Actor 75, Actor 190",This is a sample description for Movie 211. It is a family film.
212,Movie 212,Crime,1999,5.8,Director 25,"Actor 45, Actor 162",This is a sample description for Movie 212. It is a action film.
213,Movie 213,Drama,2009,2.2,Director 41,"Actor 68, Actor 198",This is a sample description for Movie 213. It is a horror film.
214,Movie 214,Western,2018,2.7,Director 43,"Actor 15, Actor 174",This is a sample description for Movie 214. It is a horror film.
215,Movie 215,Horror,1991,6.4,Director 2,"Actor 6, Actor 142",This is a sample description for Movie 215. It is a sci-fi film.
216,Movie 216,Adventure,1995,4.4,Director 29,"Actor 18, Actor 142",This is a sample description for Movie 216. It is a romance film.
217,Movie 217,Thriller,2020,6.1,Director 41,"Actor 72, Actor 181",This is a sample description for Movie 217. It is a mystery film.
218,Movie 218,War,2010,8.4,Director 35,"Actor 65, Actor 186",This is a sample description for Movie 218. It is a horror film.
219,Movie 219,Crime,2009,2.7,Director 38,"Actor 90, Actor 136",This is a sample description for Movie 219. It is a crime film.
220,Movie 220,Documentary,2012,2.3,Director 10,"Actor 6, Actor 123",This is a sample description for Movie 220. It is a comedy film.
221,Movie 221,Documentary,1990,5.9,Director 49,"Actor 93, Actor 117",This is a sample description for Movie 221. It is a action film.
222,Movie 222,Mystery,2018,6.9,Director 43,"Actor 19, Actor 105",This is a sample description for Movie 222. It is a thriller film.
223,Movie 223,Family,2024,6.8,Director 33,"Actor 63, Actor 158",This is a sample description for Movie 223. It is a comedy film.
224,Movie 224,Crime,2004,5.8,Director 42,"Actor 94, Actor 115",This is a sample description for Movie 224. It is a western film.
225,Movie 225,Action,1992,6.5,Director 19,"Actor 67, Actor 151",This is a sample description for Movie 225. It is a mystery film.
226,Movie 226,Sci-Fi,2008,9.4,Director 43,"Actor 97, Actor 113",This is a sample description for Movie 226. It is a western film.
227,Movie 227,Horror,2004,4.6,Director 13,"Actor 81, Actor 127",This is a sample description for Movie 227. It is a war film.
228,Movie 228,Western,2000,4.3,Director 39,"Actor 73, Actor 104",This is a sample description for Movie 228. It is a romance film.
229,Movie 229,Crime,2009,1.3,Director 2,"Actor 10, Actor 159",This is a sample description for Movie 229. It is a western film.
230,Movie 230,Horror,1994,7.6,Director 40,"Actor 69, Actor 127",This is a sample description for Movie 230. It is a fantasy film.
231,Movie 231,Sci-Fi,2009,1.9,Director 23,"Actor 54, Actor 156",This is a sample description for Movie 231. It is a animation film.
232,Movie 232,Fantasy,2015,2.9,Director 28,"Actor 78, Actor 176",This is a sample description for Movie 232. It is a crime film.
233,Movie 233,Adventure,1994,4.5,Director 50,"Actor 70, Actor 178",This is a sample description for Movie 233. It is a war film.
234,Movie 234,Documentary,2018,4.3,Director 48,"Actor 32, Actor 153",This is a sample description for Movie 234. It is a sci-fi film.
235,Movie 235,Drama,2014,8.7,Director 4,"Actor 21, Actor 111",This is a sample description for Movie 235. It is a sci-fi film.
236,Movie 236,Adventure,2024,7.0,Director 28,"Actor 7, Actor 178",This is a sample description for Movie 236. It is a sci-fi film.
237,Movie 237,Mystery,2015,7.6,Director 37,"Actor 79, Actor 105",This is a sample description for Movie 237. It is a western film.
